	_id	sameAs
280	msv000081043	https://data.niaid.nih.gov/resources?id=dde_db4a7c7f3f3e9a73
281	msv000080895	https://data.niaid.nih.gov/resources?id=dde_e06a03e8338c63e2
282	msv000080023	https://data.niaid.nih.gov/resources?id=dde_e34b96e198f8447a
283	prjna394877	https://data.niaid.nih.gov/resources?id=dde_e41dfcb28d0eb6a5
284	gse128519	https://data.niaid.nih.gov/resources?id=dde_e99da08654732a35
285	gse167528	https://data.niaid.nih.gov/resources?id=dde_ea43126e894376fc
286	gse150144	https://data.niaid.nih.gov/resources?id=dde_ea7518f519acc4b9
287	msv000082343	https://data.niaid.nih.gov/resources?id=dde_ea924384a09693ea
288	prjna436359	https://data.niaid.nih.gov/resources?id=dde_eb3f451cff249fc4
289	gse94273	https://data.niaid.nih.gov/resources?id=dde_f1218adcc587bf5f
290	gse76599	https://data.niaid.nih.gov/resources?id=dde_f16e54a9568f2437
291	msv000080361	https://data.niaid.nih.gov/resources?id=dde_f3b658f7a3b33bab
292	prjeb19996	https://data.niaid.nih.gov/resources?id=dde_fb134d59ae86b594
293	msv000081785	https://data.niaid.nih.gov/resources?id=dde_fcf01320845783ef
294	msv000081557	https://data.niaid.nih.gov/resources?id=dde_fd8b13d984f150ca
295	prjna491657	https://data.niaid.nih.gov/resources?id=dde_ff25419f7a9668ad
296	msv000079459	https://data.niaid.nih.gov/resources?id=dde_ffd65a9cfd1abaf3
297	gse71732	https://data.niaid.nih.gov/resources?id=dde_15699f9bef74789e
298	gse164533	https://data.niaid.nih.gov/resources?id=dde_1b09b60b41645288
299	msv000080019	https://data.niaid.nih.gov/resources?id=dde_1d0fe2227a211e88
300	msv000082346	https://data.niaid.nih.gov/resources?id=dde_1e978b150eb3e225
301	gse132185	https://data.niaid.nih.gov/resources?id=dde_1f35876f6b3e9f90
302	gse106524	https://data.niaid.nih.gov/resources?id=dde_22067908eb3e1ed6
303	gse82158	https://data.niaid.nih.gov/resources?id=dde_24445f311288fc34
304	msv000081849	https://data.niaid.nih.gov/resources?id=dde_2493710047b6c375
305	gse65573	https://data.niaid.nih.gov/resources?id=dde_252e68f692ac4ad7
306	msv000080024	https://data.niaid.nih.gov/resources?id=dde_28edde32f8370e63
307	msv000080610	https://data.niaid.nih.gov/resources?id=dde_331c8964621af01c
308	msv000081887	https://data.niaid.nih.gov/resources?id=dde_3323eac1993feb3d
309	gse86539	https://data.niaid.nih.gov/resources?id=dde_3431aa0f55bced08
310	prjna395577	https://data.niaid.nih.gov/resources?id=dde_396a472c758074ac
311	prjna495623	https://data.niaid.nih.gov/resources?id=dde_3df1ac806b4c53ec
312	prjeb19232	https://data.niaid.nih.gov/resources?id=dde_4d9350ca40032db3
313	prjna545312	https://data.niaid.nih.gov/resources?id=dde_4ff2ff99550cfaa6
314	prjna758764	https://data.niaid.nih.gov/resources?id=dde_521f968864b00a41
315	gse76600	https://data.niaid.nih.gov/resources?id=dde_524ab0dcc8dfaff4
316	gse80698	https://data.niaid.nih.gov/resources?id=dde_52baf474c93a9c6e
317	msv000081049	https://data.niaid.nih.gov/resources?id=dde_571856451fad8aad
318	gse166806	https://data.niaid.nih.gov/resources?id=dde_5a22d9f2b997344e
